                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    140,                0.89171,                0.40308,                0.86117,                 0.9615,                0.96745,                0.98862,                0.69071,                0.93436,                0.38975,                0.87251,               0.005413,               0.005413,               0.005413
                    141,                0.88975,                0.40121,                0.85802,                0.96772,                0.96013,                0.98375,                 0.6902,                 0.9343,                0.38786,                0.86917,                0.00538,                0.00538,                0.00538
                    142,                0.90916,                0.40587,                0.87069,                0.96049,                0.96936,                0.98793,                0.68673,                0.92933,                 0.3835,                0.86837,               0.005347,               0.005347,               0.005347
                    143,                 0.8872,                0.39965,                0.85903,                0.96607,                 0.9642,                0.98389,                0.68759,                0.93241,                0.38559,                0.86836,               0.005314,               0.005314,               0.005314
                    144,                0.90043,                0.40328,                0.86719,                 0.9562,                 0.9642,                0.98585,                0.68507,                0.93534,                0.38655,                0.86999,               0.005281,               0.005281,               0.005281
                    145,                0.88106,                 0.3961,                0.85429,                 0.9571,                0.97071,                0.98275,                0.69119,                0.92676,                 0.3855,                0.86919,               0.005248,               0.005248,               0.005248
                    146,                0.88351,                 0.3994,                0.85823,                0.96194,                0.96176,                 0.9825,                0.68457,                0.92495,                0.38065,                0.86902,               0.005215,               0.005215,               0.005215
                    147,                0.89225,                 0.3996,                0.85891,                0.97037,                0.95927,                 0.9841,                0.69335,                0.92186,                0.38358,                0.86813,               0.005182,               0.005182,               0.005182
                    148,                0.91034,                0.40862,                0.86128,                0.96143,                0.96827,                0.98664,                0.69274,                0.92757,                0.38409,                0.86936,               0.005149,               0.005149,               0.005149
                    149,                0.88388,                0.39682,                0.85751,                 0.9491,                0.97101,                 0.9866,                0.68627,                0.92494,                 0.3873,                0.86817,               0.005116,               0.005116,               0.005116
                    150,                 0.8864,                0.39871,                 0.8607,                0.96364,                0.97042,                0.98723,                0.68816,                 0.9361,                 0.3933,                0.87194,               0.005083,               0.005083,               0.005083
                    151,                0.89447,                0.40389,                0.85679,                0.96477,                0.96501,                0.98673,                0.68875,                0.94021,                0.39148,                0.87389,                0.00505,                0.00505,                0.00505
                    152,                0.87377,                0.39729,                0.85718,                 0.9673,                0.96267,                0.98793,                0.69714,                0.93448,                0.39107,                0.87013,               0.005017,               0.005017,               0.005017
                    153,                0.88916,                0.40354,                0.85615,                0.96385,                0.96745,                0.98919,                0.69596,                0.92718,                0.38357,                0.86909,               0.004984,               0.004984,               0.004984
                    154,                0.87655,                0.39538,                0.85734,                0.97267,                0.95559,                 0.9863,                 0.6919,                0.92832,                0.38362,                0.87081,               0.004951,               0.004951,               0.004951
                    155,                0.87183,                0.39346,                 0.8535,                0.96732,                 0.9585,                0.98695,                 0.6922,                0.92734,                0.38625,                0.86907,               0.004918,               0.004918,               0.004918
                    156,                0.89538,                0.40026,                0.86357,                0.95897,                0.97478,                0.98673,                0.68334,                 0.9368,                0.38922,                 0.8754,               0.004885,               0.004885,               0.004885
                    157,                0.87464,                0.38956,                0.85815,                0.95897,                0.96501,                0.98299,                0.69078,                0.94128,                0.38754,                0.87168,               0.004852,               0.004852,               0.004852
                    158,                 0.8583,                0.38558,                0.85357,                0.95434,                0.96943,                 0.9855,                0.69148,                0.93155,                0.38633,                0.87106,               0.004819,               0.004819,               0.004819
